Method,Noise_pct,Outlier_pct,Q,Jaccard
3C-FBI,0,0,0,1.0
3C-FBI,0,0,1,0.9996
3C-FBI,0,0,2,0.9992
3C-FBI,0,0,3,0.9988
3C-FBI,0,0,6,0.9981
3C-FBI,0,0,12,0.9959
3C-FBI,0,0,24,0.9889
3C-FBI,0,0,40,0.9645
3C-FBI,0,10,0,0.9999
3C-FBI,0,10,1,0.9996
3C-FBI,0,10,2,0.9992
3C-FBI,0,10,3,0.9988
3C-FBI,0,10,6,0.9977
3C-FBI,0,10,12,0.9947
3C-FBI,0,10,24,0.9771
3C-FBI,0,10,40,0.8285
3C-FBI,0,20,0,0.9999
3C-FBI,0,20,1,0.9996
3C-FBI,0,20,2,0.9992
3C-FBI,0,20,3,0.9987
3C-FBI,0,20,6,0.9978
3C-FBI,0,20,12,0.9934
3C-FBI,0,20,24,0.9557
3C-FBI,0,20,40,0.7324
3C-FBI,0,30,0,0.9998
3C-FBI,0,30,1,0.9994
3C-FBI,0,30,2,0.999
3C-FBI,0,30,3,0.9985
3C-FBI,0,30,6,0.9969
3C-FBI,0,30,12,0.9889
3C-FBI,0,30,24,0.9188
3C-FBI,0,30,40,0.6663
3C-FBI,0,40,0,0.9998
3C-FBI,0,40,1,0.9994
3C-FBI,0,40,2,0.9988
3C-FBI,0,40,3,0.9981
3C-FBI,0,40,6,0.9957
3C-FBI,0,40,12,0.9822
3C-FBI,0,40,24,0.8741
3C-FBI,0,40,40,0.6317
3C-FBI,0,50,0,0.9997
3C-FBI,0,50,1,0.9992
3C-FBI,0,50,2,0.9984
3C-FBI,0,50,3,0.9973
3C-FBI,0,50,6,0.9937
3C-FBI,0,50,12,0.9758
3C-FBI,0,50,24,0.8128
3C-FBI,0,50,40,0.5888
3C-FBI,0,60,0,0.9997
3C-FBI,0,60,1,0.9989
3C-FBI,0,60,2,0.9976
3C-FBI,0,60,3,0.9963
3C-FBI,0,60,6,0.9898
3C-FBI,0,60,12,0.9569
3C-FBI,0,60,24,0.7454
3C-FBI,0,60,40,0.5551
3C-FBI,0,70,0,0.9996
3C-FBI,0,70,1,0.9983
3C-FBI,0,70,2,0.996
3C-FBI,0,70,3,0.9939
3C-FBI,0,70,6,0.9846
3C-FBI,0,70,12,0.92
3C-FBI,0,70,24,0.6637
3C-FBI,0,70,40,0.5013
3C-FBI,1,0,0,0.9949
3C-FBI,1,0,1,0.9952
3C-FBI,1,0,2,0.9971
3C-FBI,1,0,3,0.9976
3C-FBI,1,0,6,0.9973
3C-FBI,1,0,12,0.9957
3C-FBI,1,0,24,0.9898
3C-FBI,1,0,40,0.9658
3C-FBI,1,10,0,0.9952
3C-FBI,1,10,1,0.995
3C-FBI,1,10,2,0.9967
3C-FBI,1,10,3,0.9973
3C-FBI,1,10,6,0.9967
3C-FBI,1,10,12,0.9944
3C-FBI,1,10,24,0.9757
3C-FBI,1,10,40,0.8254
3C-FBI,1,20,0,0.9945
3C-FBI,1,20,1,0.9947
3C-FBI,1,20,2,0.9965
3C-FBI,1,20,3,0.9969
3C-FBI,1,20,6,0.9964
3C-FBI,1,20,12,0.993
3C-FBI,1,20,24,0.9488
3C-FBI,1,20,40,0.7294
3C-FBI,1,30,0,0.9948
3C-FBI,1,30,1,0.994
3C-FBI,1,30,2,0.9956
3C-FBI,1,30,3,0.9966
3C-FBI,1,30,6,0.9962
3C-FBI,1,30,12,0.99
3C-FBI,1,30,24,0.9199
3C-FBI,1,30,40,0.6759
3C-FBI,1,40,0,0.9942
3C-FBI,1,40,1,0.9932
3C-FBI,1,40,2,0.9955
3C-FBI,1,40,3,0.9962
3C-FBI,1,40,6,0.9946
3C-FBI,1,40,12,0.9827
3C-FBI,1,40,24,0.8714
3C-FBI,1,40,40,0.6181
3C-FBI,1,50,0,0.9939
3C-FBI,1,50,1,0.9939
3C-FBI,1,50,2,0.994
3C-FBI,1,50,3,0.9947
3C-FBI,1,50,6,0.9929
3C-FBI,1,50,12,0.9726
3C-FBI,1,50,24,0.8173
3C-FBI,1,50,40,0.5743
3C-FBI,1,60,0,0.9928
3C-FBI,1,60,1,0.9921
3C-FBI,1,60,2,0.9927
3C-FBI,1,60,3,0.9927
3C-FBI,1,60,6,0.9885
3C-FBI,1,60,12,0.9512
3C-FBI,1,60,24,0.7394
3C-FBI,1,60,40,0.5401
3C-FBI,1,70,0,0.9901
3C-FBI,1,70,1,0.9899
3C-FBI,1,70,2,0.9907
3C-FBI,1,70,3,0.9891
3C-FBI,1,70,6,0.979
3C-FBI,1,70,12,0.9078
3C-FBI,1,70,24,0.6368
3C-FBI,1,70,40,0.5003
3C-FBI,2,0,0,0.9882
3C-FBI,2,0,1,0.9881
3C-FBI,2,0,2,0.9899
3C-FBI,2,0,3,0.9917
3C-FBI,2,0,6,0.9952
3C-FBI,2,0,12,0.9943
3C-FBI,2,0,24,0.9869
3C-FBI,2,0,40,0.9516
3C-FBI,2,10,0,0.9879
3C-FBI,2,10,1,0.9881
3C-FBI,2,10,2,0.9899
3C-FBI,2,10,3,0.9907
3C-FBI,2,10,6,0.9942
3C-FBI,2,10,12,0.9933
3C-FBI,2,10,24,0.9735
3C-FBI,2,10,40,0.8266
3C-FBI,2,20,0,0.9869
3C-FBI,2,20,1,0.9873
3C-FBI,2,20,2,0.9891
3C-FBI,2,20,3,0.9903
3C-FBI,2,20,6,0.9941
3C-FBI,2,20,12,0.9915
3C-FBI,2,20,24,0.9426
3C-FBI,2,20,40,0.728
3C-FBI,2,30,0,0.9874
3C-FBI,2,30,1,0.9874
3C-FBI,2,30,2,0.9879
3C-FBI,2,30,3,0.9898
3C-FBI,2,30,6,0.9932
3C-FBI,2,30,12,0.9885
3C-FBI,2,30,24,0.917
3C-FBI,2,30,40,0.67
3C-FBI,2,40,0,0.987
3C-FBI,2,40,1,0.9851
3C-FBI,2,40,2,0.9874
3C-FBI,2,40,3,0.988
3C-FBI,2,40,6,0.99
3C-FBI,2,40,12,0.9847
3C-FBI,2,40,24,0.8621
3C-FBI,2,40,40,0.6208
3C-FBI,2,50,0,0.9828
3C-FBI,2,50,1,0.9839
3C-FBI,2,50,2,0.9864
3C-FBI,2,50,3,0.9881
3C-FBI,2,50,6,0.9891
3C-FBI,2,50,12,0.975
3C-FBI,2,50,24,0.8143
3C-FBI,2,50,40,0.5731
3C-FBI,2,60,0,0.9804
3C-FBI,2,60,1,0.9801
3C-FBI,2,60,2,0.9855
3C-FBI,2,60,3,0.9854
3C-FBI,2,60,6,0.9836
3C-FBI,2,60,12,0.9576
3C-FBI,2,60,24,0.7144
3C-FBI,2,60,40,0.5222
3C-FBI,2,70,0,0.8726
3C-FBI,2,70,1,0.8722
3C-FBI,2,70,2,0.9733
3C-FBI,2,70,3,0.9748
3C-FBI,2,70,6,0.9739
3C-FBI,2,70,12,0.8967
3C-FBI,2,70,24,0.6285
3C-FBI,2,70,40,0.4876
3C-FBI,5,0,0,0.9589
3C-FBI,5,0,1,0.954
3C-FBI,5,0,2,0.9668
3C-FBI,5,0,3,0.9722
3C-FBI,5,0,6,0.9775
3C-FBI,5,0,12,0.9852
3C-FBI,5,0,24,0.979
3C-FBI,5,0,40,0.9502
3C-FBI,5,10,0,0.959
3C-FBI,5,10,1,0.9603
3C-FBI,5,10,2,0.9673
3C-FBI,5,10,3,0.9702
3C-FBI,5,10,6,0.9781
3C-FBI,5,10,12,0.9828
3C-FBI,5,10,24,0.972
3C-FBI,5,10,40,0.8296
3C-FBI,5,20,0,0.9516
3C-FBI,5,20,1,0.9554
3C-FBI,5,20,2,0.9663
3C-FBI,5,20,3,0.9691
3C-FBI,5,20,6,0.9741
3C-FBI,5,20,12,0.9803
3C-FBI,5,20,24,0.9514
3C-FBI,5,20,40,0.7424
3C-FBI,5,30,0,0.9444
3C-FBI,5,30,1,0.946
3C-FBI,5,30,2,0.9607
3C-FBI,5,30,3,0.9674
3C-FBI,5,30,6,0.9732
3C-FBI,5,30,12,0.9778
3C-FBI,5,30,24,0.9273
3C-FBI,5,30,40,0.6709
3C-FBI,5,40,0,0.943
3C-FBI,5,40,1,0.9267
3C-FBI,5,40,2,0.9627
3C-FBI,5,40,3,0.9696
3C-FBI,5,40,6,0.9713
3C-FBI,5,40,12,0.9732
3C-FBI,5,40,24,0.8707
3C-FBI,5,40,40,0.6153
3C-FBI,5,50,0,0.8822
3C-FBI,5,50,1,0.9156
3C-FBI,5,50,2,0.9548
3C-FBI,5,50,3,0.963
3C-FBI,5,50,6,0.9695
3C-FBI,5,50,12,0.9608
3C-FBI,5,50,24,0.7899
3C-FBI,5,50,40,0.5631
3C-FBI,5,60,0,0.773
3C-FBI,5,60,1,0.737
3C-FBI,5,60,2,0.9138
3C-FBI,5,60,3,0.9509
3C-FBI,5,60,6,0.9627
3C-FBI,5,60,12,0.9354
3C-FBI,5,60,24,0.6975
3C-FBI,5,60,40,0.5091
3C-FBI,5,70,0,0.512
3C-FBI,5,70,1,0.4845
3C-FBI,5,70,2,0.6439
3C-FBI,5,70,3,0.7482
3C-FBI,5,70,6,0.8513
3C-FBI,5,70,12,0.7797
3C-FBI,5,70,24,0.554
3C-FBI,5,70,40,0.4759
3C-FBI,10,0,0,0.8851
3C-FBI,10,0,1,0.8883
3C-FBI,10,0,2,0.9172
3C-FBI,10,0,3,0.9298
3C-FBI,10,0,6,0.946
3C-FBI,10,0,12,0.9521
3C-FBI,10,0,24,0.9552
3C-FBI,10,0,40,0.9094
3C-FBI,10,10,0,0.8775
3C-FBI,10,10,1,0.8838
3C-FBI,10,10,2,0.9084
3C-FBI,10,10,3,0.9281
3C-FBI,10,10,6,0.9409
3C-FBI,10,10,12,0.9529
3C-FBI,10,10,24,0.9379
3C-FBI,10,10,40,0.8286
3C-FBI,10,20,0,0.8754
3C-FBI,10,20,1,0.8726
3C-FBI,10,20,2,0.9086
3C-FBI,10,20,3,0.9275
3C-FBI,10,20,6,0.9406
3C-FBI,10,20,12,0.9486
3C-FBI,10,20,24,0.9339
3C-FBI,10,20,40,0.7354
3C-FBI,10,30,0,0.8578
3C-FBI,10,30,1,0.8499
3C-FBI,10,30,2,0.9024
3C-FBI,10,30,3,0.9158
3C-FBI,10,30,6,0.9369
3C-FBI,10,30,12,0.9438
3C-FBI,10,30,24,0.909
3C-FBI,10,30,40,0.6649
3C-FBI,10,40,0,0.783
3C-FBI,10,40,1,0.7885
3C-FBI,10,40,2,0.871
3C-FBI,10,40,3,0.9036
3C-FBI,10,40,6,0.9383
3C-FBI,10,40,12,0.9389
3C-FBI,10,40,24,0.8439
3C-FBI,10,40,40,0.6012
3C-FBI,10,50,0,0.6479
3C-FBI,10,50,1,0.6712
3C-FBI,10,50,2,0.756
3C-FBI,10,50,3,0.8448
3C-FBI,10,50,6,0.9179
3C-FBI,10,50,12,0.9214
3C-FBI,10,50,24,0.7486
3C-FBI,10,50,40,0.5389
3C-FBI,10,60,0,0.5258
3C-FBI,10,60,1,0.4749
3C-FBI,10,60,2,0.5405
3C-FBI,10,60,3,0.6332
3C-FBI,10,60,6,0.7842
3C-FBI,10,60,12,0.795
3C-FBI,10,60,24,0.6086
3C-FBI,10,60,40,0.4856
3C-FBI,10,70,0,0.4011
3C-FBI,10,70,1,0.4196
3C-FBI,10,70,2,0.4264
3C-FBI,10,70,3,0.4238
3C-FBI,10,70,6,0.4627
3C-FBI,10,70,12,0.4926
3C-FBI,10,70,24,0.4505
3C-FBI,10,70,40,0.4424
RHT,0,0,0,1.0
RHT,0,0,1,0.9932
RHT,0,0,2,0.9858
RHT,0,0,3,0.977
RHT,0,0,6,0.9559
RHT,0,0,12,0.9164
RHT,0,0,24,0.8474
RHT,0,0,40,0.7676
RHT,0,10,0,0.9999
RHT,0,10,1,0.9912
RHT,0,10,2,0.9801
RHT,0,10,3,0.9714
RHT,0,10,6,0.9341
RHT,0,10,12,0.8385
RHT,0,10,24,0.6619
RHT,0,10,40,0.5772
RHT,0,20,0,0.9992
RHT,0,20,1,0.9899
RHT,0,20,2,0.9813
RHT,0,20,3,0.9647
RHT,0,20,6,0.9265
RHT,0,20,12,0.8365
RHT,0,20,24,0.6396
RHT,0,20,40,0.5255
RHT,0,30,0,0.9981
RHT,0,30,1,0.9902
RHT,0,30,2,0.9765
RHT,0,30,3,0.9618
RHT,0,30,6,0.9153
RHT,0,30,12,0.8233
RHT,0,30,24,0.6285
RHT,0,30,40,0.4933
RHT,0,40,0,0.9979
RHT,0,40,1,0.9897
RHT,0,40,2,0.9743
RHT,0,40,3,0.9615
RHT,0,40,6,0.9191
RHT,0,40,12,0.8224
RHT,0,40,24,0.5985
RHT,0,40,40,0.4693
RHT,0,50,0,0.9967
RHT,0,50,1,0.9899
RHT,0,50,2,0.9749
RHT,0,50,3,0.9594
RHT,0,50,6,0.9126
RHT,0,50,12,0.8126
RHT,0,50,24,0.5794
RHT,0,50,40,0.4625
RHT,0,60,0,0.9975
RHT,0,60,1,0.9898
RHT,0,60,2,0.9764
RHT,0,60,3,0.9598
RHT,0,60,6,0.9144
RHT,0,60,12,0.7937
RHT,0,60,24,0.5499
RHT,0,60,40,0.452
RHT,0,70,0,0.9981
RHT,0,70,1,0.9909
RHT,0,70,2,0.9793
RHT,0,70,3,0.9596
RHT,0,70,6,0.8958
RHT,0,70,12,0.6703
RHT,0,70,24,0.5216
RHT,0,70,40,0.4435
RHT,1,0,0,0.9929
RHT,1,0,1,0.9929
RHT,1,0,2,0.9805
RHT,1,0,3,0.974
RHT,1,0,6,0.9578
RHT,1,0,12,0.9132
RHT,1,0,24,0.8424
RHT,1,0,40,0.7634
RHT,1,10,0,0.9926
RHT,1,10,1,0.9914
RHT,1,10,2,0.9815
RHT,1,10,3,0.969
RHT,1,10,6,0.9346
RHT,1,10,12,0.8417
RHT,1,10,24,0.6782
RHT,1,10,40,0.5855
RHT,1,20,0,0.9918
RHT,1,20,1,0.992
RHT,1,20,2,0.9807
RHT,1,20,3,0.9662
RHT,1,20,6,0.9237
RHT,1,20,12,0.8261
RHT,1,20,24,0.6399
RHT,1,20,40,0.5035
RHT,1,30,0,0.9913
RHT,1,30,1,0.991
RHT,1,30,2,0.9776
RHT,1,30,3,0.9653
RHT,1,30,6,0.9172
RHT,1,30,12,0.8219
RHT,1,30,24,0.6099
RHT,1,30,40,0.4867
RHT,1,40,0,0.9911
RHT,1,40,1,0.9916
RHT,1,40,2,0.9786
RHT,1,40,3,0.9613
RHT,1,40,6,0.9162
RHT,1,40,12,0.8176
RHT,1,40,24,0.5983
RHT,1,40,40,0.4669
RHT,1,50,0,0.9903
RHT,1,50,1,0.9905
RHT,1,50,2,0.9776
RHT,1,50,3,0.9598
RHT,1,50,6,0.9218
RHT,1,50,12,0.8123
RHT,1,50,24,0.5768
RHT,1,50,40,0.4617
RHT,1,60,0,0.9894
RHT,1,60,1,0.9893
RHT,1,60,2,0.9758
RHT,1,60,3,0.9608
RHT,1,60,6,0.9162
RHT,1,60,12,0.756
RHT,1,60,24,0.5513
RHT,1,60,40,0.4372
RHT,1,70,0,0.9883
RHT,1,70,1,0.9884
RHT,1,70,2,0.9756
RHT,1,70,3,0.9634
RHT,1,70,6,0.9034
RHT,1,70,12,0.6477
RHT,1,70,24,0.4956
RHT,1,70,40,0.4535
RHT,2,0,0,0.9894
RHT,2,0,1,0.9892
RHT,2,0,2,0.9853
RHT,2,0,3,0.9729
RHT,2,0,6,0.948
RHT,2,0,12,0.9148
RHT,2,0,24,0.8551
RHT,2,0,40,0.7394
RHT,2,10,0,0.9896
RHT,2,10,1,0.9887
RHT,2,10,2,0.9843
RHT,2,10,3,0.9722
RHT,2,10,6,0.9337
RHT,2,10,12,0.8471
RHT,2,10,24,0.664
RHT,2,10,40,0.562
RHT,2,20,0,0.9873
RHT,2,20,1,0.9887
RHT,2,20,2,0.9847
RHT,2,20,3,0.9708
RHT,2,20,6,0.9262
RHT,2,20,12,0.8258
RHT,2,20,24,0.633
RHT,2,20,40,0.5255
RHT,2,30,0,0.9875
RHT,2,30,1,0.9873
RHT,2,30,2,0.9833
RHT,2,30,3,0.9688
RHT,2,30,6,0.921
RHT,2,30,12,0.829
RHT,2,30,24,0.6118
RHT,2,30,40,0.4851
RHT,2,40,0,0.9858
RHT,2,40,1,0.9861
RHT,2,40,2,0.9817
RHT,2,40,3,0.9635
RHT,2,40,6,0.9254
RHT,2,40,12,0.8129
RHT,2,40,24,0.5957
RHT,2,40,40,0.475
RHT,2,50,0,0.9851
RHT,2,50,1,0.9847
RHT,2,50,2,0.9803
RHT,2,50,3,0.9643
RHT,2,50,6,0.9157
RHT,2,50,12,0.8064
RHT,2,50,24,0.5787
RHT,2,50,40,0.4661
RHT,2,60,0,0.9817
RHT,2,60,1,0.9835
RHT,2,60,2,0.9782
RHT,2,60,3,0.9623
RHT,2,60,6,0.9132
RHT,2,60,12,0.7447
RHT,2,60,24,0.542
RHT,2,60,40,0.4439
RHT,2,70,0,0.9801
RHT,2,70,1,0.9783
RHT,2,70,2,0.9764
RHT,2,70,3,0.96
RHT,2,70,6,0.8824
RHT,2,70,12,0.6491
RHT,2,70,24,0.509
RHT,2,70,40,0.4395
RHT,5,0,0,0.9607
RHT,5,0,1,0.9624
RHT,5,0,2,0.9722
RHT,5,0,3,0.9726
RHT,5,0,6,0.9528
RHT,5,0,12,0.8928
RHT,5,0,24,0.7963
RHT,5,0,40,0.7251
RHT,5,10,0,0.9619
RHT,5,10,1,0.9613
RHT,5,10,2,0.969
RHT,5,10,3,0.9709
RHT,5,10,6,0.9495
RHT,5,10,12,0.852
RHT,5,10,24,0.6814
RHT,5,10,40,0.5732
RHT,5,20,0,0.9612
RHT,5,20,1,0.9595
RHT,5,20,2,0.9671
RHT,5,20,3,0.971
RHT,5,20,6,0.9413
RHT,5,20,12,0.852
RHT,5,20,24,0.6502
RHT,5,20,40,0.5291
RHT,5,30,0,0.9565
RHT,5,30,1,0.9544
RHT,5,30,2,0.9658
RHT,5,30,3,0.9699
RHT,5,30,6,0.9371
RHT,5,30,12,0.8375
RHT,5,30,24,0.6293
RHT,5,30,40,0.4802
RHT,5,40,0,0.9554
RHT,5,40,1,0.9523
RHT,5,40,2,0.9637
RHT,5,40,3,0.9687
RHT,5,40,6,0.934
RHT,5,40,12,0.833
RHT,5,40,24,0.593
RHT,5,40,40,0.4866
RHT,5,50,0,0.9502
RHT,5,50,1,0.9513
RHT,5,50,2,0.9581
RHT,5,50,3,0.9641
RHT,5,50,6,0.9228
RHT,5,50,12,0.8246
RHT,5,50,24,0.5562
RHT,5,50,40,0.4676
RHT,5,60,0,0.9458
RHT,5,60,1,0.9402
RHT,5,60,2,0.9552
RHT,5,60,3,0.9613
RHT,5,60,6,0.9145
RHT,5,60,12,0.7275
RHT,5,60,24,0.5228
RHT,5,60,40,0.4486
RHT,5,70,0,0.8659
RHT,5,70,1,0.8545
RHT,5,70,2,0.9089
RHT,5,70,3,0.9352
RHT,5,70,6,0.7913
RHT,5,70,12,0.5298
RHT,5,70,24,0.4814
RHT,5,70,40,0.4508
RHT,10,0,0,0.9113
RHT,10,0,1,0.909
RHT,10,0,2,0.9241
RHT,10,0,3,0.9377
RHT,10,0,6,0.9464
RHT,10,0,12,0.904
RHT,10,0,24,0.7733
RHT,10,0,40,0.6788
RHT,10,10,0,0.9111
RHT,10,10,1,0.9125
RHT,10,10,2,0.9189
RHT,10,10,3,0.9352
RHT,10,10,6,0.9425
RHT,10,10,12,0.8764
RHT,10,10,24,0.7141
RHT,10,10,40,0.5658
RHT,10,20,0,0.9094
RHT,10,20,1,0.91
RHT,10,20,2,0.9232
RHT,10,20,3,0.9305
RHT,10,20,6,0.94
RHT,10,20,12,0.8791
RHT,10,20,24,0.6766
RHT,10,20,40,0.54
RHT,10,30,0,0.9042
RHT,10,30,1,0.8975
RHT,10,30,2,0.917
RHT,10,30,3,0.9253
RHT,10,30,6,0.9406
RHT,10,30,12,0.8606
RHT,10,30,24,0.6498
RHT,10,30,40,0.5037
RHT,10,40,0,0.8891
RHT,10,40,1,0.9019
RHT,10,40,2,0.911
RHT,10,40,3,0.9203
RHT,10,40,6,0.9397
RHT,10,40,12,0.8479
RHT,10,40,24,0.6069
RHT,10,40,40,0.4793
RHT,10,50,0,0.875
RHT,10,50,1,0.8766
RHT,10,50,2,0.8976
RHT,10,50,3,0.9153
RHT,10,50,6,0.9218
RHT,10,50,12,0.7891
RHT,10,50,24,0.5606
RHT,10,50,40,0.4572
RHT,10,60,0,0.7181
RHT,10,60,1,0.705
RHT,10,60,2,0.7824
RHT,10,60,3,0.8367
RHT,10,60,6,0.9045
RHT,10,60,12,0.5427
RHT,10,60,24,0.492
RHT,10,60,40,0.451
RHT,10,70,0,0.4638
RHT,10,70,1,0.4567
